season,week,celebrity_name,fan_vote_share,fan_rank,mean,std,cv,certainty,ci_low,ci_high,ci_width,judge_total,eliminated,week_type,regime
7,6,Susan Lucci,0.14290081623884565,4.0,0.09843346169937582,0.0008039555162135062,0.008167502212498172,0.9918986654553198,0.09724738595166418,0.10000277988176359,0.002755393930099409,23.0,False,single_elim,percent
7,6,Cody Linley,0.14290081623884565,5.0,0.09816984336969521,0.0008689567187259907,0.008851564685232405,0.991226098075197,0.09652893394128005,0.0998816652842818,0.0033527313430017497,23.0,False,single_elim,percent
7,6,Maurice Greene,0.1376412684890051,6.0,0.09482622925181179,0.0009556413752612319,0.010077816895191717,0.9900227321829823,0.09317254632402952,0.09655476659733925,0.0033822202733097273,21.0,False,single_elim,percent
7,6,Warren Sapp,0.14836134181195484,3.0,0.10169736825357904,0.0006800109269815189,0.0066866128264591275,0.9933578009866594,0.10033562375526359,0.10288063529992467,0.00254501154466108,25.0,False,single_elim,percent
7,6,Lance Bass,0.1540305249723289,1.0,0.10577998495943393,0.0008531731262110833,0.008065544030264995,0.9919989884804327,0.10449782205188654,0.10733999926466893,0.00284217721278239,27.0,False,single_elim,percent
7,6,Brooke Burke,0.1511693598745941,2.0,0.10373625580988587,0.000985876782051711,0.009503685807385375,0.9905857839441324,0.10154440398932879,0.1050645731459986,0.0035201691566698057,26.0,False,single_elim,percent
7,7,Susan Lucci,0.1377963472300009,6.0,0.0011034850529799743,1.0826602961071007e-06,0.0009811281930673767,0.9990198334759433,0.0011018974702030392,0.0011056864463859894,3.7889761829502412e-06,24.0,True,single_elim,percent
7,7,Cody Linley,0.16319035753259512,4.0,0.10059701254514818,0.000928003747827608,0.00922496329014858,0.990859358789467,0.09902599436878783,0.10262603692483194,0.0036000425560441113,22.0,False,single_elim,percent
7,7,Maurice Greene,0.17349379704296597,2.0,0.10684520158680991,0.0007182858212619122,0.006722677393034981,0.9933222151998764,0.10561845487339258,0.1079174816786707,0.0022990268052781176,25.0,False,single_elim,percent
7,7,Warren Sapp,0.15989369589614855,5.0,0.09879928940059853,0.0007567622069768218,0.007659591597955737,0.9923986317782088,0.09749561554047192,0.1003119222292496,0.0028163066887776783,21.0,False,single_elim,percent
7,7,Lance Bass,0.17349379704296597,3.0,0.10704256677717769,0.001008747819111742,0.009423800731643282,0.9906641781927347,0.1054478050245867,0.10880979716442053,0.003361992139833833,25.0,False,single_elim,percent
7,7,Brooke Burke,0.19213200525532345,1.0,0.11741348842239674,0.001121946489548093,0.009555516190029837,0.9905349274638294,0.11537688459742,0.11918583017661036,0.0038089455791903565,30.0,False,single_elim,percent
7,8,Cody Linley,0.19313953465710787,4.0,0.11097441339547916,0.0014044120342608041,0.012655277836485655,0.9875028767306449,0.10867984442620401,0.11361626125675955,0.00493641683055554,24.0,False,single_elim,percent
7,8,Maurice Greene,0.1921385336561069,5.0,0.0011102163993948434,1.094446374909714e-06,0.0009857955399562416,0.9990151752958448,0.001108046800061521,0.0011119587127452928,3.911912683771763e-06,24.0,True,single_elim,percent
7,8,Warren Sapp,0.20726561614197928,2.0,0.11910892643961296,0.0013885340539251112,0.011657682555212049,0.9884766529664781,0.11721180346674882,0.12164839277078134,0.004436589304032512,27.0,False,single_elim,percent
7,8,Lance Bass,0.19773788033273249,3.0,0.11391621298932662,0.00122425654160412,0.010746991226954031,0.989367278537324,0.1121490227390752,0.11650241328149334,0.004353390542418137,25.0,False,single_elim,percent
7,8,Brooke Burke,0.20971843521207337,1.0,0.11999320238948895,0.000976108220727541,0.008134695976853479,0.991930943345848,0.1180580059174996,0.12150431893193711,0.003446313014437513,27.5,False,single_elim,percent
7,9,Cody Linley,0.2341913376932741,4.0,0.001121232862791474,1.2525637364981984e-06,0.0011171307745830397,0.9988841158139821,0.0011185328969739957,0.00112338622654835,4.853329574354328e-06,23.0,True,single_elim,percent
7,9,Warren Sapp,0.2449158257368133,2.0,0.12664682791091864,0.001353338903000773,0.010685928146204263,0.989427053599327,0.1243094418624486,0.12955018999818005,0.005240748135731443,24.5,False,single_elim,percent
7,9,Lance Bass,0.2759770108330994,1.0,0.1419241788828661,0.0013553175695694478,0.009549588944164534,0.9905407430712225,0.1394964035183479,0.14408790974743285,0.004591506229084941,28.5,False,single_elim,percent
7,9,Brooke Burke,0.2449158257368133,3.0,0.12820653881620087,0.001432430019734284,0.011172831221875826,0.9889506216178942,0.12598163504285356,0.13118517887201994,0.005203543829166379,24.5,False,single_elim,percent
7,10,Warren Sapp,0.27272727272727276,2.0,0.2586206896551725,5.551115123125783e-17,2.1464311809419686e-16,0.9999999999999998,0.25862068965517243,0.25862068965517243,0.0,27.5,False,finals,percent
7,10,Lance Bass,0.18181818181818182,3.0,0.1724137931034483,2.7755575615628914e-17,1.609823385706477e-16,0.9999999999999998,0.17241379310344826,0.17241379310344826,0.0,27.5,False,finals,percent
7,10,Brooke Burke,0.5454545454545455,1.0,0.517241379310345,1.1102230246251565e-16,2.1464311809419686e-16,0.9999999999999998,0.5172413793103449,0.5172413793103449,0.0,30.0,False,finals,percent
8,1,Gilles Marini,0.07692307692307693,1.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,24.0,False,no_elim,percent
